id,symptom,synonyms,description,stage,possible_causes,follow_up_questions,danger_sign,severity,category,recommended_action,collect_immediately,source,page
15,Severe vomiting,Persistent vomiting,Repeated and severe expulsion of stomach contents,Any; First trimester,Physiological changes; Severe pre-eclampsia,How many times have you vomited today?,Yes,Urgent,Gastrointestinal,"Refer to the hospital urgently; Ginger, chamomile, or vitamin B6",Blood pressure; Temperature,Digital ANC Who guidelines; Hospital-MPDSR-Training-Manual; WHO recommendations on maternal health,"106; 195; 506, 509"
16,Foul-smelling vaginal discharge,Foul liquor; Abnormal genital discharge,Smelly discharge from the vagina,Any; Postpartum,Maternal infection; Sepsis; Endometritis; STI,Is the discharge bad-smelling?; Are you in labour?,Yes,Urgent,Infection,Refer to BEONC or CEONC site; Parenteral antibiotics,Temperature; Uterine tenderness,A Report on Maternal Mortality; Hospital-MPDSR-Training-Manual; NDHS2022; WHO recommendations on maternal health,"15, 16, 29, 31, 34, 36; 197; 351; 469"
17,Nausea,,Feeling of sickness with an inclination to vomit,First trimester,Physiological changes,Are you in your first trimester?,No,Mild,Gastrointestinal,Ginger; Chamomile; Vitamin B6; Acupuncture,,WHO recommendations on maternal health,"441, 509, 523"
18,Heartburn,,Burning sensation in the chest or throat,Any,Hormonal and mechanical effects,Is it worse after eating or lying down?,No,Mild,Gastrointestinal,Diet and lifestyle advice; Antacid preparations,,WHO recommendations on maternal health,"443, 506, 523"
19,Leg cramps,,"Painful muscle contractions in the legs, usually at night",Any,Physiological changes,Do they mostly happen at night?,No,Mild,Musculoskeletal,Magnesium; Calcium; Non-pharmacological options,,WHO recommendations on maternal health,"499, 506, 524"
20,Low back and pelvic pain,Back pain; Pelvic pain,Pain in the lower back or pelvic region,Any,Hormonal and mechanical effects; Symphysis pubis dysfunction,Does the pain make it difficult to walk or perform daily activities?,No,Mild,Musculoskeletal,Regular exercise; Physiotherapy; Support belts; Acupuncture,,WHO recommendations on maternal health,"442, 500, 506, 524"
21,Constipation,,Difficulty in bowel movements,Any,Hormonal and mechanical effects; Iron supplements,Have you had a bowel movement today?,No,Mild,Gastrointestinal,Wheat bran or fibre supplements,,WHO recommendations on maternal health,"443, 463, 472, 506, 525"
22,Varicose veins,,"Swollen, twisted veins usually in the legs, vulva, or rectum",Any,Mechanical effects; long periods of standing,Is it worse when you stand for a long time?,No,Mild,Cardiovascular,Compression stockings; Leg elevation; Water immersion,,WHO recommendations on maternal health,"443, 507, 525"
23,Suicidal ideation,Self-harm; Thoughts of being better off dead,Thoughts of hurting oneself or wanting to die,Any,Mental health complications; Depression; Intimate partner violence,Have you had thoughts of hurting yourself?,Yes,Emergency,Mental health,Referral for mental health services,,A Report on Maternal Mortality; NDHS2022; WHO recommendations on maternal health,"7, 20; 273, 281, 368; 482"
24,Depression,"Feeling down, depressed or hopeless","Persistent feelings of sadness, lack of interest, or hopelessness",Any; Postpartum,Mental health complications; Postpartum depression,"Do you have little interest or pleasure in doing things?; Have you felt down, depressed, or hopeless in the last 2 weeks?",No,Moderate,Mental health,Screening using EPDS or PHQ-9; Referral for mental health services,,Hospital-MPDSR-Training-Manual; NDHS2022; WHO recommendations on maternal health,"174; 277, 366, 370; 482"
25,Chest pain,,Pain in the chest area,Any,Heart disease; COVID-19; Tuberculosis,Do you also have palpitations or shortness of breath?,No,Moderate,Cardiovascular,Medical evaluation,Blood pressure; Heart rate,Hospital-MPDSR-Training-Manual; NDHS2022,"134; 356, 361"
26,Palpitations,Rapid or pounding heartbeat,Awareness of a fast or irregular heartbeat,Any,Heart disease; Anaemia,Do you have shortness of breath or chest pain with the palpitations?,No,Moderate,Cardiovascular,Medical evaluation,Heart rate; Blood pressure,Hospital-MPDSR-Training-Manual,"151, 153"
